Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	ASYNC
t13	2	5	1	4	6	3	0	48	48
t23	2	5	1	6	3	4	0	173	173
t13	2	5	1	6	3	4	0	28	55
t23	2	5	1	6	4	3	0	173	173
t13	2	5	1	6	4	3	0	28	55
t23	2	5	3	1	4	6	0	173	173
t13	2	5	3	1	4	6	0	53	53
t23	2	5	3	1	6	4	0	173	173
t13	2	5	3	1	6	4	0	48	48
t23	2	5	3	4	1	6	0	173	173
t13	2	5	3	4	1	6	0	53	53
t23	2	5	3	4	6	1	0	173	173
t13	2	5	3	4	6	1	0	48	48
t23	2	5	3	6	1	4	0	173	173
t13	2	5	3	6	1	4	0	28	55
t23	2	5	3	6	4	1	0	173	173
t13	2	5	3	6	4	1	0	28	55
t23	2	5	4	1	3	6	0	173	173
t13	2	5	4	1	3	6	0	53	53
t23	2	5	4	1	6	3	0	173	173
t13	2	5	4	1	6	3	0	48	48
t23	2	5	4	3	1	6	0	173	173
t13	2	5	4	3	1	6	0	53	53
t23	2	5	4	3	6	1	0	173	173
t13	2	5	4	3	6	1	0	48	48
t23	2	5	4	6	1	3	0	173	173
t13	2	5	4	6	1	3	0	28	55
t23	2	5	4	6	3	1	0	173	173
t13	2	5	4	6	3	1	0	28	55
t23	2	5	6	1	3	4	82	47	47
t13	2	5	6	1	3	4	204	75	75
t23	2	5	6	1	4	3	78	47	47
t13	2	5	6	1	4	3	204	75	75
t23	2	5	6	3	1	4	88	47	47
t13	2	5	6	3	1	4	233	75	75
t23	2	5	6	3	4	1	90	47	47
t13	2	5	6	3	4	1	261	75	75
t23	2	5	6	4	1	3	90	47	47
t13	2	5	6	4	1	3	275	75	75
t23	2	5	6	4	3	1	126	47	47
t13	2	5	6	4	3	1	306	75	75
t23	2	6	1	3	4	5	0	51	51
t13	2	6	1	3	4	5	0	75	75
t23	2	6	1	3	5	4	0	51	51
t13	2	6	1	3	5	4	0	75	75
t23	2	6	1	4	3	5	0	51	51
t13	2	6	1	4	3	5	0	75	75
t23	2	6	1	4	5	3	0	51	51
t13	2	6	1	4	5	3	0	75	75
t23	2	6	1	5	3	4	0	51	51
t13	2	6	1	5	3	4	0	75	75
t23	2	6	1	5	4	3	0	51	51
t13	2	6	1	5	4	3	0	75	75
t23	2	6	3	1	4	5	0	51	51
t13	2	6	3	1	4	5	0	75	75
t23	2	6	3	1	5	4	0	51	51
t13	2	6	3	1	5	4	0	75	75
t23	2	6	3	4	1	5	0	51	51
t13	2	6	3	4	1	5	0	75	75
