Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	Uniform
t25	1	3	6	4	5	2	7	420
t39	1	3	6	4	5	2	7	210
t17	1	3	6	4	5	2	7	210
t25	1	3	6	4	5	7	2	280
t39	1	3	6	4	5	7	2	210
t17	1	3	6	4	5	7	2	80
t25	1	3	6	4	7	2	5	250
t39	1	3	6	4	7	2	5	210
t17	1	3	6	4	7	2	5	100
t25	1	3	6	4	7	5	2	230
t39	1	3	6	4	7	5	2	210
t17	1	3	6	4	7	5	2	80
t25	1	3	6	5	2	4	7	420
t39	1	3	6	5	2	4	7	210
t17	1	3	6	5	2	4	7	210
t25	1	3	6	5	2	7	4	350
t39	1	3	6	5	2	7	4	210
t17	1	3	6	5	2	7	4	150
t25	1	3	6	5	4	2	7	420
t39	1	3	6	5	4	2	7	210
t17	1	3	6	5	4	2	7	210
t25	1	3	6	5	4	7	2	280
t39	1	3	6	5	4	7	2	210
t17	1	3	6	5	4	7	2	80
t25	1	3	6	5	7	2	4	250
t39	1	3	6	5	7	2	4	210
t17	1	3	6	5	7	2	4	100
t25	1	3	6	5	7	4	2	230
t39	1	3	6	5	7	4	2	210
t17	1	3	6	5	7	4	2	80
t25	1	3	6	7	2	4	5	380
t39	1	3	6	7	2	4	5	170
t17	1	3	6	7	2	4	5	170
t25	1	3	6	7	2	5	4	360
t39	1	3	6	7	2	5	4	170
t17	1	3	6	7	2	5	4	150
t25	1	3	6	7	4	2	5	380
t39	1	3	6	7	4	2	5	170
t17	1	3	6	7	4	2	5	170
t25	1	3	6	7	4	5	2	290
t39	1	3	6	7	4	5	2	170
t17	1	3	6	7	4	5	2	80
t25	1	3	6	7	5	2	4	310
t39	1	3	6	7	5	2	4	170
t17	1	3	6	7	5	2	4	100
t25	1	3	6	7	5	4	2	290
t39	1	3	6	7	5	4	2	170
t17	1	3	6	7	5	4	2	80
t25	1	3	7	2	4	5	6	400
t39	1	3	7	2	4	5	6	190
t17	1	3	7	2	4	5	6	190
t25	1	3	7	2	4	6	5	360
t39	1	3	7	2	4	6	5	190
t17	1	3	7	2	4	6	5	150
t25	1	3	7	2	5	4	6	400
t39	1	3	7	2	5	4	6	190
t17	1	3	7	2	5	4	6	190
t25	1	3	7	2	5	6	4	310
t39	1	3	7	2	5	6	4	190
t17	1	3	7	2	5	6	4	100
t25	1	3	7	2	6	4	5	310
t39	1	3	7	2	6	4	5	190
t17	1	3	7	2	6	4	5	100
t25	1	3	7	2	6	5	4	310
t39	1	3	7	2	6	5	4	190
t17	1	3	7	2	6	5	4	100
t25	1	3	7	4	2	5	6	400
t39	1	3	7	4	2	5	6	190
t17	1	3	7	4	2	5	6	190
t25	1	3	7	4	2	6	5	360
t39	1	3	7	4	2	6	5	190
t17	1	3	7	4	2	6	5	150
t25	1	3	7	4	5	2	6	400
t39	1	3	7	4	5	2	6	190
t17	1	3	7	4	5	2	6	190
t25	1	3	7	4	5	6	2	290
t39	1	3	7	4	5	6	2	190
t17	1	3	7	4	5	6	2	80
t25	1	3	7	4	6	2	5	310
t39	1	3	7	4	6	2	5	190
t17	1	3	7	4	6	2	5	100
t25	1	3	7	4	6	5	2	290
t39	1	3	7	4	6	5	2	190
t17	1	3	7	4	6	5	2	80
t25	1	3	7	5	2	4	6	400
t39	1	3	7	5	2	4	6	190
t17	1	3	7	5	2	4	6	190
t25	1	3	7	5	2	6	4	360
t39	1	3	7	5	2	6	4	190
t17	1	3	7	5	2	6	4	150
t25	1	3	7	5	4	2	6	400
t39	1	3	7	5	4	2	6	190
t17	1	3	7	5	4	2	6	190
t25	1	3	7	5	4	6	2	290
t39	1	3	7	5	4	6	2	190
t17	1	3	7	5	4	6	2	80
t25	1	3	7	5	6	2	4	310
t39	1	3	7	5	6	2	4	190
t17	1	3	7	5	6	2	4	100
t25	1	3	7	5	6	4	2	290
t39	1	3	7	5	6	4	2	190
t17	1	3	7	5	6	4	2	80
t25	1	3	7	6	2	4	5	380
t39	1	3	7	6	2	4	5	170
t17	1	3	7	6	2	4	5	170
t25	1	3	7	6	2	5	4	360
t39	1	3	7	6	2	5	4	170
t17	1	3	7	6	2	5	4	150
t25	1	3	7	6	4	2	5	380
t39	1	3	7	6	4	2	5	170
t17	1	3	7	6	4	2	5	170
t25	1	3	7	6	4	5	2	290
t39	1	3	7	6	4	5	2	170
t17	1	3	7	6	4	5	2	80
t25	1	3	7	6	5	2	4	310
t39	1	3	7	6	5	2	4	170
t17	1	3	7	6	5	2	4	100
t25	1	3	7	6	5	4	2	290
t39	1	3	7	6	5	4	2	170
t17	1	3	7	6	5	4	2	80
t25	1	4	2	3	5	6	7	420
